Company,Address,TIFDistrict,CompletionDate,ActualCosts,ActualGrant,WorkItems
The Roscoe Company,3535 W. Harrison St.,Midwest,11/06/2014,35729.00,17864.50,"remainder of the roofing work from Phase I of the project (patching and repairs, removal of defunct rooftop equipment, cleaning and resealing of flashings, tuckpointing and masonry repairs on parapet walls) and HVAC work including replacement of furnace, condenser and coils, with venting through roof and replacement of rooftop condenser unit"
Beyond Design Inc,4521 N Ravenswood,Ravenswood,11/07/2014,109271.50,54635.75,"installation of a 53-panel, grid-connected 13.25 kW photovoltaic array on the rooftop with all associated electrical work and roofing repairs; creation of three openings in a masonry wall for three glass block windows, a lintel support beam and limestone sills; permanent landscaping including removal of failing trees and plants, creation of landscaping beds and installation of new trees, bushes and plants; and remodeling of interior shop area including demolition, new drywall, new drop ceiling, electrical work, patching, painting and finishing"
Hemina Patel State Farm Insurance ,3837 N Western,Western Avenue South,11/14/2014,24310.00,17196.30,"permanent security items, new interior and exterior lighting, new solar panel electrical improvements, ADA-accessible chair lift"
Sean Ghassemi,407 W. North Ave.,Near North,11/14/2014,69310.00,48054.23,"renovation of the commercial space in the building basement including demolition of existing concrete floor and pouring new concrete, carpentry and framing for new walls, new ceilings with insulation, new stairwell to chiropractor office on first floor, new vinyl flooring, plumbing and electrical work, painting and finishing; installation of a new HVAC system serving commercial space (only) including 2 new furnaces with condenser, ductwork and wiring; and exterior restoration of entry doorway and doors at front façade"
"Bam Auto House, Inc. / Peeple Trans Cab, Inc.",151 N. Cicero Ave.,Madison/Austin,11/14/2014,82810.00,62107.50,remove and replace parking lot asphalt
"La Fontanella Restaurant, Inc. dba Bacchanalia Restaurant",2413 S. Oakley Ave.,Pilsen Industrial,11/17/2014,56000.00,42000.00,"the first stages of a complete façade renovation and re-shoring including removal of the existing masonry façade, installing a concrete foundation and footing to shore the new façade, and installation of steel columns for structural support"
"Chicago Soccer, Inc. ",4839 N. Western Ave. ,Western Avenue North,11/19/2014,45100.00,22550.00,roofing
Angels R Us Kidz Academy Inc,3941 S. Indiana Ave,47th/King,11/21/2014,88888.88,66666.66,"preparation of the space for daycare build out including demolition of dilapidated flooring, ceilings, walls, and roof joists; installation of new footings and foundation for new structural columns, raising of roof and installation of new parallel beams for structural support; interior and exterior masonry work (patching and tuckpointing, new masonry on east wall); installation of exterior fencing; prep work for new concrete flooring and rough underground plumbing; rough carpentry and framing work"
"Burgundy Restaurant, Inc.",5959 W. Irving Park Rd.,West Irving Park,12/01/2014,15856.06,11892.05,"three new storefront systems (doors, glass, frames) for tenant storefronts"
"McCathay Timber, Inc.  ",1529 W. Armitage Ave. ,North Branch North,12/02/2014,17700.00,8850.00,"Tuck-pointing
Windows"
"Marigold, Inc. ",8815 S. Dobson Ave.,Stony Island/Burnside,12/04/2014,60784.00,11967.25,new wrought iron fence and gate
"AR & IR, Inc. dba Mambo Cafe",3336-44 N. Milwaukee Ave.,Avondale,12/11/2014,115380.00,57690.00,HVAC; repairs to truss of barrel roof; hardwood flooring; masonry repairs
"Essential Elements - Chicago, LTD.",1640 E. 87th St.,Stony Island/Burnside,12/11/2014,43603.00,32702.25,"installation of a new recessed storefront system including window display cases, new entry doors, carpeting in recessed area, exterior lighting, and a new masonry knee wall below windows; HVAC improvements including replacement of old furnace with new high efficiency furnace, new HVAC supply lines, new dehumidifier and associated electrical work; weatherization of rear entry door; new carpeting throughout the store, painting and finishing work"
"Six Corners Bistro, Inc.",3930 N. Cicero Ave.,Portage Park,12/11/2014,102171.59,76628.69,"the balance of the work and expenses for the interior rehabilitation of 3930 N. Cicero for food service functionality: demolition, carpentry, ceilings, tile work, tuckpointing, walls, casing for doors and windows, painting, countertops, electrical, ductwork, lighting, fans and associated roof patching, kitchen hood, walk-in cooler and freezer, plumbing, gas lines, and bathrooms"
Rickard Circular Folding Company,325 N. Ashland Ave.,Kinzie,12/12/2014,48053.06,24026.53,demolition of old windows and replacement with new windows; resurfacing and striping of parking lot; four (4) permanent large diameter circulation fans (materials only)
Chicagoland Beverage,2042-2056 W Walnut,Kinzie,12/15/2014,78392.00,39196.00,"roofing, concrete ramp demolition"
"AMK Market, INC DBA Sun Fresh Market And Deli",3640 N. Central Ave,Belmont Central,12/15/2014,17495.78,13121.84,lighting and electrical work
Amy's Candy Bar,4704 N Damen,Western Avenue North,12/16/2014,8950.00,6712.50,HVAC
Bloom Quintero Realty Co.,10511 S Ewing Ave,Ewing Avenue,12/16/2014,28975.00,21731.25,"replacement of aluminum storefront, masonry including replacement of bricks, remove and replace spandrel, replacement of steel beam, re-install copings, caulking, and roofing repairs as needed"
"Kauser's Salon and Spa, LLC","3533 N. Western Ave., Unit B",Western Avenue South,12/17/2014,67900.00,50000.00,"renovating the storefront by expanding the window opening in a masonry wall and installing a new channel letter sign above the entry; HVAC improvements including raising the existing HVAC unit so it is above new suspended ceiling, extending new ductwork with all new vents in newly built soffits; electrical work including all new wiring and new light fixtures (pendant lights and recessed can lights in soffits); interior carpentry including new drywall and a new suspended ceiling; repairs to hardwood flooring; painting and finishing work on interior and exterior of salon"
"Crisp N Clean of Chicago-Madison, Inc.",2323 W. Madison St.,Central West,12/18/2014,40500.00,12750.00,installation of new channel letter sign on front façade and installation of new T5 bay light fixtures with all necessary wiring
"Dry Clean Direct of Chicago, Inc.",9300 S. Commercial Ave.,Commercial Ave,12/18/2014,43500.00,32625.00,masonry repairs to front entryway; resurfacing and striping of parking lot; powerwashing and tuck pointing to building
"3205 Armitage Manor, LLC",3205 W. Armitage Ave.,Fullerton Milwaukee,12/19/2014,141298.93,100000.00,"demolition of current storefront and brick infill; removal of deteriorated face brick and replacement with like brick; tuck pointing; replace broken limestone sill; install new storefront door; install five (5) new storefront windows; caulking at windows, doors, expansion joints, and cornice; install two (2) exterior lights at storefront and associated electrical; provide and install two (2) structural steel channels and two (2) ""W"" section structural steel columns and associated modification to existing beam; framing at storefront area and install four (4) new floor joists and plywood subflooring; trim interior of windows and doors at storefront and rebuild bulkhead display boxes in storefront windows; insulation for columns, window mullions, bulkheads, and joist space at facade; repair and replace drywall at storefront ceiling area and east and west walls; tile flooring for entry area; painting of exterior of storefront, interior at façade and north and south walls, and painting of the cornice; install 200 amp electrical service for commercial space; grind and tuck point east and west elevation of common brick and replace 70 lineal feet of common brick at west elevation and 30 lineal feet at east elevation"
"Dry Clean Direct of Chicago, Inc.",9300 S. Commercial Ave.,Commercial Avenue,02/06/2015,89500.00,67125.00,"install rooftop evaporative cooler; install new boiler, blow down, and water return tanks; plumbing repairs; remove and replace lighting and associated electrical;install 100 gallon energy efficient commercial water heater"
J.C. Moon Co.,4250 N. Pulaski ,Irving Park/Elston,12/19/2014,136840.00,100000.00,"facade renovations including tuckpointing and brick replacement all around the building, replacement of glass block windows on front façade with glass windows (requiring creation of new openings in masonry wall) matching the building’s 2nd floor windows, installation of new storefront doors and entryway; new wrought iron sliding gate in rear; grading of parking lot, resurfacing with asphalt and installation of new catch basin; installation of new exterior stairwell; replacement of damaged wooden exterior walls on warehouse in rear of property; and installation of new electrical service panels with new wiring"
"Burgundy Restaurant, Inc.",5959 W. Irving Park Rd.,West Irving Park,12/22/2014,28300.00,21225.00,"install new tile flooring in restaurant dining room and kitchen; install new drop ceiling tiles in kitchen area, three new exterior metal doors; install stainless steel backsplash panel on dishwashing station and kitchen area; painting of kitchen, carpet replacement in dining room"
E&J Foreign Cars Ltd.,4241-5 N. Western Ave.,Western Avenue South,01/06/2015,118685.47,89014.10,"new garage and office entrance doors; new windows; remove and replace office lighting, outside lighting, and garage lighting with energy efficient items; remove old fans in garage and replace with new fan; remove and replace roofing system; new HVAC rooftop unit, associated duct work and electrical, engineering services; new fencing; parking lot improvements (demolish old concrete; regrade and install new stone base; paving and steamrolling)"
"Jimena's, Inc. dba Monica's Pizza",4410 W. 63rd St.,63rd/Pulaski,01/07/2015,88888.88,66666.66,"demolition; foundation work, new concrete slab; concrete block exterior walls and brick front wall and limestone seal; steel I-beams; framing, walls, rafters, and roof decking; insulation; drywall; rough plumbing; HVAC; rough plumbing; new gutters; roofing"
Irma Curiel,4106 W. Armitage Ave.,Armitage/Pulaski,01/08/2015,30975.00,23231.25,"roofing; replacement of an I beam above first floor window system; tuck pointing on the western elevation, three new windows on second floor façade; new gutter and downspouts; masonry repairs to rear retaining walls; replacement of support columns in basement; replacement of basement door; reconstruction of the chimney; and scaffolding and permit expenses"
His & Hers Barber and Beauty Salon,2102 S. Pulaski Rd.,Ogden/Pulaski,01/12/2015,31925.00,23943.75,"roofing; new aluminum storefront, windows, and door"
John D. Colbert & Associates,1925 W Irving Park Rd,Western Avenue South,01/13/2015,6950.00,5212.50,"installation of new storefront framing, and tempered glass windows and doors."
"DLV Printing Service, Inc.",5825 W. Corcoran Pl.,Madison/Austin,01/14/2015,128750.00,96562.50,"demolishing the stucco façade and restoring existing and installing new brick for masonry façade; installation of new storefront system including frame, glass windows and doors; roofing repairs including tuckpointing and masonry repairs to parapet walls and tuckpointing around property; interior demolition, new rough carpentry and framing, drywall and insulation, flooring (tile, hardwood, carpeting), new drop ceilings; build out of new employee restroom including rough plumbing work and fixtures; electrical work including wiring and light fixtures; HVAC improvements including new furnace with condenser, coils, and extensions to existing ductwork; painting and finishing"
